City,tempmax,sealevelpressure
Hyderabad,29,1005.9
Hyderabad,30.9,1005.7
Hyderabad,30.9,1004.6
Hyderabad,30,1004.7
Hyderabad,31.1,1004.1
Hyderabad,29.1,1005.5
Hyderabad,30.8,1005.9
Hyderabad,28.8,1007.4
Hyderabad,28.9,1009.2
Hyderabad,32.2,1009.7
Hyderabad,32.2,1009.3
Hyderabad,32.3,1008.2
Hyderabad,29.2,1008.2
Hyderabad,28.5,1009
Hyderabad,31.1,1007.6
Hyderabad,31.7,1007
Hyderabad,27,1008.7
Hyderabad,29.5,1008.7
Hyderabad,33.7,1008.1
Hyderabad,35,1007.7
Bengaluru,35.9,1010.8
Bengaluru,35.9,1010.8
Bengaluru,34.9,1011.6
Bengaluru,35.1,1012.8
Bengaluru,35,1013.4
Bengaluru,34,1014.3
Bengaluru,35,1015.1
Bengaluru,34.1,1013.4
Bengaluru,33.9,1012.8
Bengaluru,32.9,1014.3
Bengaluru,33,1015.4
Bengaluru,33.9,1015.7
Bengaluru,32.1,1015.4
Bengaluru,31.9,1014.8
Bengaluru,31.9,1014.8
Bengaluru,32.9,1014.1
Bengaluru,33.9,1015
Bengaluru,33.9,1016
Bengaluru,34,1014
Bengaluru,34,1013.2
Bengaluru,33.9,1014.8
Bengaluru,32.8,1014.5
Bengaluru,32.9,1015.1
Bengaluru,31.9,1014.1
Bengaluru,32,1013.6
Bengaluru,33.9,1013.1
Bengaluru,33,1014
Bengaluru,33.4,1014.6
Bengaluru,34,1013.8
Bengaluru,32.9,1013.3
Bengaluru,32.5,1013.5
Bengaluru,32.8,1013.7
Bengaluru,32.9,1012.8
Bengaluru,31.9,1012.9
Bengaluru,33,1012.4
Bengaluru,33,1013.6
Bengaluru,32.9,1014.3
Bengaluru,32.9,1013.4
Bengaluru,33.9,1012.2
Bengaluru,33,1012.1
Bengaluru,33.2,1011.9
Bengaluru,32,1011.4
Bengaluru,31.9,1010.6
Bengaluru,32.9,1008.8
Bengaluru,26.9,1008
Bengaluru,27.9,1009.9
Bengaluru,31.7,1011.3
Bengaluru,31.9,1011.7
Bengaluru,33.9,1011.5
Bengaluru,30.9,1012.1
Bengaluru,28,1012.4
Bengaluru,30,1011.9
Bengaluru,31,1011.9
Bengaluru,31.9,1012.4
Bengaluru,30,1011
Bengaluru,30.9,1010.3
Bengaluru,31.9,1011.2
Bengaluru,31,1012.1
Bengaluru,32,1012.8
Bengaluru,32,1012.6
Bengaluru,32,1011.3
Bengaluru,31.9,1011.4
Bengaluru,32.6,1011.8
Bengaluru,30.9,1012.6
Bengaluru,31,1013.6
Bengaluru,29.9,1012.9
Bengaluru,29.9,1012.9
Bengaluru,30.9,1013.1
Bengaluru,30.1,1012.6
Bengaluru,30,1011.7
Bengaluru,29.9,1010.7
Bengaluru,29,1010.8
Bengaluru,28.9,1010.7
Bengaluru,28.8,1010.4
